1000
op_type,chunk_size,block_id,exec_time
malloc,36757504,0,12519.000000
malloc,42450944,1,2028.000000
malloc,4661248,2,3003.000000
malloc,6373376,3,3549.000000
malloc,18268160,4,2340.000000
malloc,22126592,5,2067.000000
malloc,36691968,6,2106.000000
malloc,3481600,7,1482.000000
malloc,30801920,8,2652.000000
malloc,33710080,9,1638.000000
free,36757504,0,1287.000000
free,42450944,1,195.000000
free,4661248,2,156.000000
free,6373376,3,156.000000
free,18268160,4,117.000000
free,22126592,5,117.000000
free,36691968,6,195.000000
free,3481600,7,117.000000
free,30801920,8,156.000000
free,33710080,9,272.000000
malloc,51937280,10,2067.000000
malloc,15507456,11,2808.000000
malloc,14229504,12,1443.000000
malloc,3653632,13,1520.000000
malloc,49790976,14,2145.000000
malloc,20037632,15,3159.000000
malloc,16924672,16,1170.000000
malloc,51822592,17,1209.000000
malloc,44179456,18,1794.000000
malloc,14442496,19,1287.000000
free,51937280,10,195.000000
free,15507456,11,155.000000
free,14229504,12,546.000000
free,3653632,13,350.000000
free,49790976,14,156.000000
free,20037632,15,155.000000
free,16924672,16,117.000000
free,51822592,17,117.000000
free,44179456,18,156.000000
free,14442496,19,195.000000
malloc,31285248,20,1677.000000
malloc,29179904,21,2028.000000
malloc,44457984,22,1248.000000
malloc,9682944,23,3159.000000
malloc,20840448,24,1716.000000
malloc,46653440,25,2262.000000
malloc,44597248,26,2301.000000
malloc,16662528,27,2223.000000
malloc,5398528,28,1833.000000
malloc,2359296,29,1833.000000
free,31285248,20,156.000000
free,29179904,21,1482.000000
free,44457984,22,195.000000
free,9682944,23,155.000000
free,20840448,24,117.000000
free,46653440,25,117.000000
free,44597248,26,195.000000
free,16662528,27,156.000000
free,5398528,28,155.000000
free,2359296,29,195.000000
malloc,33816576,30,2262.000000
malloc,42156032,31,2496.000000
malloc,44810240,32,2028.000000
malloc,38477824,33,3783.000000
malloc,48521216,34,2730.000000
malloc,10641408,35,2106.000000
malloc,8167424,36,1170.000000
malloc,32784384,37,2457.000000
malloc,14123008,38,2028.000000
malloc,38969344,39,3003.000000
free,33816576,30,195.000000
free,42156032,31,156.000000
free,44810240,32,195.000000
free,38477824,33,156.000000
free,48521216,34,117.000000
free,10641408,35,117.000000
free,8167424,36,117.000000
free,32784384,37,156.000000
free,14123008,38,117.000000
free,38969344,39,195.000000
malloc,14065664,40,1755.000000
malloc,13631488,41,4290.000000
malloc,2048000,42,2067.000000
malloc,28295168,43,2262.000000
malloc,17276928,44,2145.000000
malloc,51830784,45,1989.000000
malloc,48324608,46,3159.000000
malloc,34201600,47,2184.000000
malloc,51224576,48,2379.000000
malloc,40075264,49,1794.000000
free,14065664,40,78.000000
free,13631488,41,117.000000
free,2048000,42,117.000000
free,28295168,43,156.000000
free,17276928,44,155.000000
free,51830784,45,117.000000
free,48324608,46,117.000000
free,34201600,47,351.000000
free,51224576,48,117.000000
free,40075264,49,195.000000
malloc,48635904,50,3471.000000
malloc,30072832,51,1287.000000
malloc,16818176,52,2067.000000
malloc,40656896,53,1755.000000
malloc,39755776,54,2145.000000
malloc,37650432,55,1794.000000
malloc,34881536,56,2730.000000
malloc,31916032,57,1755.000000
malloc,1884160,58,1326.000000
malloc,40280064,59,1638.000000
free,48635904,50,116.000000
free,30072832,51,234.000000
free,16818176,52,155.000000
free,40656896,53,117.000000
free,39755776,54,117.000000
free,37650432,55,117.000000
free,34881536,56,156.000000
free,31916032,57,117.000000
free,1884160,58,117.000000
free,40280064,59,195.000000
malloc,34267136,60,1521.000000
malloc,35700736,61,1287.000000
malloc,29999104,62,1833.000000
malloc,26648576,63,1521.000000
malloc,21741568,64,3159.000000
malloc,26091520,65,2340.000000
malloc,37281792,66,1287.000000
malloc,29908992,67,1716.000000
malloc,6438912,68,1170.000000
malloc,51404800,69,2691.000000
free,34267136,60,429.000000
free,35700736,61,117.000000
free,29999104,62,117.000000
free,26648576,63,117.000000
free,21741568,64,117.000000
free,26091520,65,156.000000
free,37281792,66,507.000000
free,29908992,67,117.000000
free,6438912,68,117.000000
free,51404800,69,195.000000
malloc,16449536,70,1872.000000
malloc,20504576,71,1677.000000
malloc,12599296,72,2067.000000
malloc,18489344,73,1716.000000
malloc,48791552,74,1911.000000
malloc,29876224,75,1755.000000
malloc,17891328,76,1482.000000
malloc,44687360,77,1248.000000
malloc,11640832,78,1716.000000
malloc,16678912,79,1599.000000
free,16449536,70,117.000000
free,20504576,71,117.000000
free,12599296,72,117.000000
free,18489344,73,156.000000
free,48791552,74,155.000000
free,29876224,75,117.000000
free,17891328,76,117.000000
free,44687360,77,117.000000
free,11640832,78,156.000000
free,16678912,79,234.000000
malloc,32325632,80,5070.000000
malloc,7839744,81,2106.000000
malloc,46751744,82,2925.000000
malloc,49135616,83,1716.000000
malloc,48496640,84,1950.000000
malloc,34078720,85,1053.000000
malloc,34357248,86,2184.000000
